,simulation_ts,lat_val,lng_val,soc_val,prob_val,state_val,tocharge_val
190568,2019-07-01 07:46:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
192238,2019-07-01 07:47:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
193949,2019-07-01 07:48:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
196034,2019-07-01 07:49:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
198091,2019-07-01 07:50:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
200153,2019-07-01 07:51:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
202036,2019-07-01 07:52:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
202803,2019-07-01 07:53:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
204852,2019-07-01 07:54:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
206569,2019-07-01 07:55:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
208271,2019-07-01 07:56:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
210345,2019-07-01 07:57:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
212391,2019-07-01 07:58:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
215013,2019-07-01 07:59:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
216360,2019-07-01 08:00:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
217112,2019-07-01 08:01:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
219153,2019-07-01 08:02:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
220869,2019-07-01 08:03:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
222569,2019-07-01 08:04:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
224638,2019-07-01 08:05:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
226683,2019-07-01 08:06:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
229290,2019-07-01 08:07:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
230608,2019-07-01 08:08:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
231398,2019-07-01 08:09:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
233423,2019-07-01 08:10:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
235130,2019-07-01 08:11:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
236822,2019-07-01 08:12:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
238841,2019-07-01 08:13:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
240898,2019-07-01 08:14:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
242949,2019-07-01 08:15:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
244837,2019-07-01 08:16:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
245593,2019-07-01 08:17:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
247631,2019-07-01 08:18:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
249318,2019-07-01 08:19:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
251008,2019-07-01 08:20:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
253026,2019-07-01 08:21:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
255075,2019-07-01 08:22:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
257690,2019-07-01 08:23:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
258991,2019-07-01 08:24:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
259752,2019-07-01 08:25:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
261762,2019-07-01 08:26:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
263454,2019-07-01 08:27:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
265127,2019-07-01 08:28:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
267137,2019-07-01 08:29:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
269130,2019-07-01 08:30:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
271727,2019-07-01 08:31:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
273034,2019-07-01 08:32:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
273751,2019-07-01 08:33:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
275750,2019-07-01 08:34:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
277443,2019-07-01 08:35:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
